y,ds
276,03/28/2013
355,03/28/2014
317,03/28/2015
355,03/28/2016
239,03/29/2011
235,03/29/2012
289,03/29/2013
326,03/29/2014
330,03/29/2015
374,03/29/2016
256,03/30/2011
276,03/30/2012
296,03/30/2013
340,03/30/2014
321,03/30/2015
348,03/30/2016
240,03/31/2011
294,03/31/2012
275,03/31/2013
274,03/31/2014
298,03/31/2015
334,03/31/2016
318,04/01/2011
306,04/01/2012
279,04/01/2013
271,04/01/2014
324,04/01/2015
355,04/01/2016
351,04/02/2011
258,04/02/2012
261,04/02/2013
281,04/02/2014
291,04/02/2015
429,04/02/2016
253,04/03/2011
256,04/03/2012
299,04/03/2013
270,04/03/2014
352,04/03/2015
368,04/03/2016
214,04/04/2011
280,04/04/2012
292,04/04/2013
327,04/04/2014
326,04/04/2015
388,04/04/2016
283,04/05/2011
289,04/05/2012
343,04/05/2013
377,04/05/2014
326,04/05/2015
356,04/05/2016
275,04/06/2011
296,04/06/2012
350,04/06/2013
296,04/06/2014
351,04/06/2015
411,04/06/2016
249,04/07/2011
311,04/07/2012
269,04/07/2013
298,04/07/2014
320,04/07/2015
364,04/07/2016
267,04/08/2011
274,04/08/2012
283,04/08/2013
293,04/08/2014
307,04/08/2015
456,04/08/2016
295,04/09/2011
307,04/09/2012
276,04/09/2013
306,04/09/2014
317,04/09/2015
432,04/09/2016
216,04/10/2011
287,04/10/2012
241,04/10/2013
351,04/10/2014
409,04/10/2015
378,04/10/2016
271,04/11/2011
260,04/11/2012
271,04/11/2013
310,04/11/2014
319,04/11/2015
379,04/11/2016
248,04/12/2011
281,04/12/2012
301,04/12/2013
339,04/12/2014
326,04/12/2015
360,04/12/2016
276,04/13/2011
281,04/13/2012
320,04/13/2013
361,04/13/2014
343,04/13/2015
380,04/13/2016
254,04/14/2011
277,04/14/2012
298,04/14/2013
292,04/14/2014
342,04/14/2015
348,04/14/2016
279,04/15/2011
245,04/15/2012
266,04/15/2013
280,04/15/2014
315,04/15/2015
377,04/15/2016
290,04/16/2011
244,04/16/2012
288,04/16/2013
281,04/16/2014
281,04/16/2015
346,04/16/2016
268,04/17/2011
284,04/17/2012
338,04/17/2013
346,04/17/2014
318,04/17/2015
297,04/17/2016
264,04/18/2011
255,04/18/2012
250,04/18/2013
367,04/18/2014
322,04/18/2015
342,04/18/2016
244,04/19/2011
299,04/19/2012
320,04/19/2013
338,04/19/2014
348,04/19/2015
304,04/19/2016
242,04/20/2011
277,04/20/2012
329,04/20/2013
367,04/20/2014
326,04/20/2015
344,04/20/2016
250,04/21/2011
279,04/21/2012
291,04/21/2013
311,04/21/2014
331,04/21/2015
404,04/21/2016
266,04/22/2011
287,04/22/2012
267,04/22/2013
317,04/22/2014
313,04/22/2015
438,04/22/2016
238,04/23/2011
297,04/23/2012
267,04/23/2013
329,04/23/2014
394,04/23/2015
417,04/23/2016
218,04/24/2011
280,04/24/2012
283,04/24/2013
317,04/24/2014
396,04/24/2015
407,04/24/2016
244,04/25/2011
264,04/25/2012
295,04/25/2013
327,04/25/2014
345,04/25/2015
389,04/25/2016
242,04/26/2011
332,04/26/2012
282,04/26/2013
338,04/26/2014
282,04/26/2015
385,04/26/2016
251,04/27/2011
277,04/27/2012
324,04/27/2013
290,04/27/2014
304,04/27/2015
375,04/27/2016
227,04/28/2011
286,04/28/2012
332,04/28/2013
329,04/28/2014
297,04/28/2015
336,04/28/2016
269,04/29/2011
294,04/29/2012
301,04/29/2013
312,04/29/2014
323,04/29/2015
359,04/29/2016
271,04/30/2011
303,04/30/2012
257,04/30/2013
298,04/30/2014
329,04/30/2015
309,04/30/2016
264,05/01/2011
285,05/01/2012
265,05/01/2013
344,05/01/2014
353,05/01/2015
316,05/01/2016
229,05/02/2011
297,05/02/2012
288,05/02/2013
334,05/02/2014
369,05/02/2015
405,05/02/2016
264,05/03/2011
295,05/03/2012
290,05/03/2013
413,05/03/2014
364,05/03/2015
380,05/03/2016
250,05/04/2011
368,05/04/2012
345,05/04/2013
411,05/04/2014
315,05/04/2015
416,05/04/2016
322,05/05/2011
355,05/05/2012
336,05/05/2013
372,05/05/2014
329,05/05/2015
452,05/05/2016
340,05/06/2011
290,05/06/2012
327,05/06/2013
340,05/06/2014
345,05/06/2015
477,05/06/2016
308,05/07/2011
274,05/07/2012
265,05/07/2013
328,05/07/2014
329,05/07/2015
346,05/07/2016
334,05/08/2011
283,05/08/2012
273,05/08/2013
304,05/08/2014
324,05/08/2015
384,05/08/2016
236,05/09/2011
295,05/09/2012
317,05/09/2013
328,05/09/2014
332,05/09/2015
417,05/09/2016
264,05/10/2011
282,05/10/2012
261,05/10/2013
348,05/10/2014
323,05/10/2015
349,05/10/2016
219,05/11/2011
245,05/11/2012
328,05/11/2013
301,05/11/2014
323,05/11/2015
347,05/11/2016
269,05/12/2011
