ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2018-04-08,1.2113190324052945,416.7103330813522,367.2579630496442,440.0418025111241,412.2990036311276,421.05591156794145,-13.191913402770663,-13.191913402770663,-0.1289963550221299,-0.1289963550221299,-0.1289963550221299,-13.062917047748533,-13.062917047748533,-13.062917047748533,-13.191913402770663,403.51841967858155
2018-04-09,1.211775445002282,416.7616226740433,359.1278504040358,434.09502827486574,412.33011500133597,421.11389409091277,-19.75786643589343,-19.75786643589343,-6.554520800723873,-6.554520800723873,-6.554520800723873,-13.20334563516956,-13.20334563516956,-13.20334563516956,-19.757866435893433,397.00375623814983
2018-04-10,1.2122318575992697,416.8129122667343,354.0431692704216,430.09725773842086,412.3523264482475,421.17529602830444,-24.270452728722937,-24.270452728722937,-11.05344661251798,-11.05344661251798,-11.05344661251798,-13.217006116204951,-13.217006116204951,-13.217006116204951,-24.27045272872293,392.54245953801137
2018-04-11,1.2126882701962574,416.86420185942546,359.823213719256,432.3757753816316,412.38040812816257,421.24948497326216,-20.797193679915875,-20.797193679915875,-7.692906342506774,-7.692906342506774,-7.692906342506774,-13.1042873374091,-13.1042873374091,-13.1042873374091,-20.79719367991587,396.06700817950957
2018-04-12,1.213144682793245,416.91549145211656,364.86440513285066,435.3627510874418,412.411982358819,421.3217069431243,-16.204061694885443,-16.204061694885443,-3.3355590299125337,-3.3355590299125337,-3.3355590299125337,-12.868502664972912,-12.868502664972912,-12.868502664972912,-16.204061694885446,400.7114297572311
2018-04-13,1.2136010953902328,416.96678104480765,382.2451089929895,454.90480752134613,412.44355658947535,421.38643510981353,1.4996900558426314,1.4996900558426314,14.015470267349654,14.015470267349654,14.015470267349654,-12.515780211507023,-12.515780211507023,-12.515780211507023,1.4996900558426312,418.46647110065027
2018-04-14,1.2140575079872205,417.01807063749874,379.86799758901486,457.65010680376633,412.46985807260864,421.46141624748964,2.69507890677996,2.69507890677996,14.74995887338321,14.74995887338321,14.74995887338321,-12.05487996660325,-12.05487996660325,-12.05487996660325,2.69507890677996,419.7131495442787
2018-04-15,1.2145139205842082,417.06936023018983,367.49540483466404,441.5394679993158,412.491720783482,421.53639738516574,-11.625938756666084,-11.625938756666084,-0.1289963550064983,-0.1289963550064983,-0.1289963550064983,-11.496942401659586,-11.496942401659586,-11.496942401659586,-11.625938756666084,405.44342147352376
2018-04-16,1.2149703331811958,417.12064982288086,363.8525387065064,437.86192029114056,412.5167757205102,421.6092004109582,-17.409695776608928,-17.409695776608928,-6.554520800732858,-6.554520800732858,-6.554520800732858,-10.855174975876066,-10.855174975876066,-10.855174975876066,-17.409695776608924,399.7109540462719
2018-04-17,1.2154267457781835,417.17193941557196,359.39749056905566,431.35113937147497,412.53153419072885,421.67325174297173,-21.197931274863308,-21.197931274863308,-11.053446612516396,-11.053446612516396,-11.053446612516396,-10.144484662346914,-10.144484662346914,-10.144484662346914,-21.197931274863308,395.97400814070863
2018-04-18,1.2158831583751712,417.2232290082631,362.93867852892186,439.6233739608548,412.55815693578865,421.7365706276589,-17.073972435967505,-17.073972435967505,-7.692906342506391,-7.692906342506391,-7.692906342506391,-9.381066093461117,-9.381066093461117,-9.381066093461117,-17.07397243596751,400.1492565722956
2018-04-19,1.2163395709721587,417.27451860095414,370.2851664644775,443.5630840208826,412.59456088316983,421.7995894332051,-11.917515181947655,-11.917515181947655,-3.3355590299094007,-3.3355590299094007,-3.3355590299094007,-8.581956152038256,-8.581956152038256,-8.581956152038256,-11.917515181947657,405.3570034190065
2018-04-20,1.2167959835691464,417.32580819364523,386.02459647973694,460.3608579049355,412.6319745753966,421.86260823875114,6.250903493461202,6.250903493461202,14.015470267318591,14.015470267318591,14.015470267318591,-7.764566773857387,-7.764566773857387,-7.764566773857387,6.2509034934612036,423.5767116871064
2018-04-21,1.2172523961661341,417.3770977863364,387.93654694777075,461.4893521394726,412.6732371492526,421.9369066475549,7.80375052164027,7.80375052164027,14.74995887337983,14.74995887337983,14.74995887337983,-6.946208351739562,-6.946208351739562,-6.946208351739562,7.803750521640268,425.18084830797665
2018-04-22,1.2177088087631218,417.4283873790274,374.1558127615645,449.9718415470221,412.716444054066,422.01102275324024,-6.272612777811875,-6.272612777811875,-0.12899635501995022,-0.12899635501995022,-0.12899635501995022,-6.143616422791925,-6.143616422791925,-6.143616422791925,-6.272612777811875,411.1557746012155
2018-04-23,1.2181652213601095,417.4796769717185,366.9033062644843,443.38851070678425,412.75965095887943,422.0807588526568,-11.927015070384115,-11.927015070384115,-6.5545208007333,-6.5545208007333,-6.5545208007333,-5.372494269650818,-5.372494269650818,-5.372494269650818,-11.927015070384119,405.5526619013344
2018-04-24,1.2186216339570972,417.5309665644096,364.38702305149195,440.7029798191362,412.80285786369285,422.1539346243487,-15.700530286348632,-15.700530286348632,-11.053446612518838,-11.053446612518838,-11.053446612518838,-4.647083673829796,-4.647083673829796,-4.647083673829796,-15.700530286348634,401.830436278061
2018-04-25,1.219078046554085,417.5822561571007,368.8760493727948,441.8781931353594,412.8371759392315,422.2188586205707,-11.67268167686298,-11.67268167686298,-7.692906342505689,-7.692906342505689,-7.692906342505689,-3.979775334357294,-3.979775334357294,-3.979775334357294,-11.672681676862982,405.9095744802377
2018-04-26,1.2195344591510726,417.6335457497918,372.9213010085545,448.69680286542257,412.87031501405886,422.28378261679285,-6.716328456597177,-6.716328456597177,-3.3355590299160798,-3.3355590299160798,-3.3355590299160798,-3.380769426681095,-3.380769426681095,-3.380769426681095,-6.716328456597175,410.9172172931946
2018-04-27,1.2199908717480603,417.6848353424829,391.93255541947525,467.33029764380797,412.90345408888635,422.34870661301494,11.15767481451001,11.15767481451001,14.015470267337253,14.015470267337253,14.015470267337253,-2.8577954528272462,-2.8577954528272462,-2.8577954528272462,11.157674814510006,428.84251015699294
2018-04-28,1.220447284345048,417.73612493517396,391.8743589028332,467.388556859561,412.9346512138502,422.41363060923703,12.334059913597327,12.334059913597327,14.749958873376459,14.749958873376459,14.749958873376459,-2.4158989597791307,-2.4158989597791307,-2.4158989597791307,12.334059913597327,430.0701848487713
2018-04-29,1.2209036969420357,417.78741452786505,380.18949945069016,454.6636647629689,412.9642229857234,422.4780733100835,-2.186297276306709,-2.186297276306709,-0.12899635503340262,-0.12899635503340262,-0.12899635503340262,-2.0573009212733067,-2.0573009212733067,-2.0573009212733067,-2.1862972763067092,415.6011172515583
2018-04-30,1.2213601095390232,417.83870412055614,371.2829183561578,448.4417264184916,413.0003181400478,422.5423200864809,-8.335854437964644,-8.335854437964644,-6.554520800742285,-6.554520800742285,-6.554520800742285,-1.7813336372223607,-1.7813336372223607,-1.7813336372223607,-8.335854437964645,409.5028496825915
2018-05-01,1.2218165221360109,417.8899937132472,367.5512184279831,440.29277139285335,413.0360103881959,422.6065668628784,-12.63790156988804,-12.63790156988804,-11.053446612515884,-11.053446612515884,-11.053446612515884,-1.5844549573721514,-1.5844549573721514,-1.5844549573721514,-12.637901569888037,405.25209214335916
2018-05-02,1.2222729347329986,417.94128330593827,371.31105143383775,446.23654369092185,413.0721206999874,422.6721141109497,-9.153246879938743,-9.153246879938743,-7.692906342505308,-7.692906342505308,-7.692906342505308,-1.4603405374334353,-1.4603405374334353,-1.4603405374334353,-9.153246879938743,408.7880364259995
2018-05-03,1.2227293473299863,417.9925728986294,378.6943843104581,452.3722120918626,413.10880237046524,422.738770617228,-4.735610774011614,-4.735610774011614,-3.3355590299129463,-3.3355590299129463,-3.3355590299129463,-1.4000517440986675,-1.4000517440986675,-1.4000517440986675,-4.735610774011613,413.2569621246178
2018-05-04,1.223185759926974,418.04386249132045,394.7850778044071,468.2782969408963,413.14550979447046,422.8126422054029,12.623195470485609,12.623195470485609,14.015470267342781,14.015470267342781,14.015470267342781,-1.3922747968571738,-1.3922747968571738,-1.3922747968571738,12.623195470485607,430.66705796180605
2018-05-05,1.2236421725239617,418.0951520840116,393.6354877814856,468.630989465886,413.1815352856126,422.8846933506869,13.32633404825116,13.32633404825116,14.749958873373078,14.749958873373078,14.749958873373078,-1.4236248251219152,-1.4236248251219152,-1.4236248251219152,13.326334048251162,431.42148613226277
2018-05-06,1.2240985851209494,418.1464416767027,380.96722581844193,452.5007890992664,413.21756077675474,422.9434147804081,-1.6080031355196824,-1.6080031355196824,-0.12899635500507312,-0.12899635500507312,-0.12899635500507312,-1.4790067805146092,-1.4790067805146092,-1.4790067805146092,-1.6080031355196822,416.538438541183
2018-05-07,1.224554997717937,418.1977312693937,372.6917973637399,445.94871907582757,413.25442997095365,422.9967166585229,-8.09654442464307,-8.09654442464307,-6.554520800727612,-6.554520800727612,-6.554520800727612,-1.5420236239154599,-1.5420236239154599,-1.5420236239154599,-8.096544424643072,410.10118684475066
2018-05-08,1.2250114103149248,418.2490208620848,369.00115162522155,440.0111522514735,413.29251944272465,423.0602844302608,-12.64886755870405,-12.64886755870405,-11.0534466125143,-11.0534466125143,-11.0534466125143,-1.5954209461897508,-1.5954209461897508,-1.5954209461897508,-12.648867558704051,405.60015330338075
2018-05-09,1.2254678229119125,418.30031045477597,374.53804426069536,445.90248461372124,413.3409291170037,423.1238522019989,-9.314462557059898,-9.314462557059898,-7.692906342504925,-7.692906342504925,-7.692906342504925,-1.6215562145549727,-1.6215562145549727,-1.6215562145549727,-9.314462557059898,408.9858478977161
2018-05-10,1.2259242355089,418.35160004746695,378.25517797889944,453.0048896045704,413.38851111661154,423.18398372075626,-4.938439219280804,-4.938439219280804,-3.335559029900477,-3.335559029900477,-3.335559029900477,-1.602880189380326,-1.602880189380326,-1.602880189380326,-4.938439219280803,413.41316082818616
2018-05-11,1.2263806481058876,418.4028896401581,396.7751093859086,469.1902012719699,413.41524149985156,423.25297073499473,12.493052521391316,12.493052521391316,14.015470267301396,14.015470267301396,14.015470267301396,-1.5224177459100796,-1.5224177459100796,-1.5224177459100796,12.493052521391316,430.8959421615494
2018-05-12,1.2268370607028753,418.45417923284924,394.28025754320157,467.7477831860588,413.4419718830917,423.3185099651604,13.385723503473972,13.385723503473972,14.74995887337365,14.74995887337365,14.74995887337365,-1.3642353698996752,-1.3642353698996752,-1.3642353698996752,13.385723503473976,431.8399027363232
2018-05-13,1.227293473299863,418.5054688255403,380.5159593596961,455.64383912734286,413.47525763118887,423.3840491953262,-1.2428793287470155,-1.2428793287470155,-0.12899635503122278,-0.12899635503122278,-0.12899635503122278,-1.113882973715792,-1.113882973715792,-1.113882973715792,-1.2428793287470148,417.2625894967933
2018-05-14,1.2277498858968507,418.55675841823137,375.6702941676322,447.41777549066137,413.5108405987964,423.4495884254919,-7.313319189768083,-7.313319189768083,-6.554520800736597,-6.554520800736597,-6.554520800736597,-0.7587983890314866,-0.7587983890314866,-0.7587983890314866,-7.313319189768084,411.2434392284633
2018-05-15,1.2282062984938384,418.60804801092246,372.05898162124447,442.63486732797503,413.5464235664039,423.5167416560384,-11.34211052605729,-11.34211052605729,-11.053446612518105,-11.053446612518105,-11.053446612518105,-0.28866391353918325,-0.28866391353918325,-0.28866391353918325,-11.342110526057288,407.26593748486516
2018-05-16,1.2286627110908261,418.6593376036135,376.79129351086567,446.26176455458443,413.58200653401144,423.5825793464965,-7.388611935863928,-7.388611935863928,-7.692906342504538,-7.692906342504538,-7.692906342504538,0.3042944066406098,0.3042944066406098,0.3042944066406098,-7.388611935863929,411.27072566774956
2018-05-17,1.2291191236878138,418.71062719630464,380.2425672083156,452.6675483861019,413.60649297852933,423.64190209865535,-2.310486503468279,-2.310486503468279,-3.3355590299258275,-3.3355590299258275,-3.3355590299258275,1.0250725264575484,1.0250725264575484,1.0250725264575484,-2.310486503468279,416.4001406928364
